id,problem,topic,difficulty,company,status,tags,url,description,notes,bookmark,solution_approach,time_complexity,space_complexity,pattern,interview_frequency,attempts,last_attempted,confidence_level
30,Implement LRU cache (Array),Array,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
31,Find kth largest element (Array),Array,Easy,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
32,Find kth largest element (Array),Array,Medium,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
33,Find kth largest element (Array),Array,Hard,"Facebook, Amazon, LinkedIn",unsolved,,https://leetcode.com/problems/kth-largest-element-in-an-array/,"Given an unsorted array, find the kth largest element. Use a min-heap of size k, or apply the QuickSelect algorithm for average O(n) performance. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,QuickSelect / Min-Heap,O(n) avg,O(k),Heap / QuickSelect,High,0,,
34,Count number of islands in grid (Array),Array,Easy,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
35,Count number of islands in grid (Array),Array,Medium,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
36,Count number of islands in grid (Array),Array,Hard,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/number-of-islands/,"Given a 2D grid of '1's (land) and '0's (water), count the number of islands. Use DFS or BFS to mark visited land cells, or apply Union-Find. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,BFS / DFS / Union-Find,O(m×n),O(m×n),Matrix DFS/BFS,High,0,,
37,Generate all permutations (Array),Array,Easy,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
38,Generate all permutations (Array),Array,Medium,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
39,Generate all permutations (Array),Array,Hard,"Microsoft, Facebook, Adobe",unsolved,,https://leetcode.com/problems/permutations/,"Given a collection of distinct integers, return all possible permutations. Use backtracking to build permutations by swapping elements at each position. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Backtracking,O(n×n!),O(n),Backtracking,Medium,0,,
40,Find longest increasing subsequence (Array),Array,Easy,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
41,Find longest increasing subsequence (Array),Array,Medium,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
42,Find longest increasing subsequence (Array),Array,Hard,"Google, Microsoft, Amazon",unsolved,,https://leetcode.com/problems/longest-increasing-subsequence/,"Given an unsorted array of integers, find the length of the longest increasing subsequence. Use dynamic programming (O(n²)) or binary search with patience sorting (O(n log n)). This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dynamic Programming / Binary Search,O(n log n),O(n),Dynamic Programming,Medium,0,,
43,Search in rotated sorted array (Array),Array,Easy,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
44,Search in rotated sorted array (Array),Array,Medium,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
45,Search in rotated sorted array (Array),Array,Hard,"Amazon, Facebook, LinkedIn",unsolved,,https://leetcode.com/problems/search-in-rotated-sorted-array/,"Given a rotated sorted array and a target value, return the index of the target or -1 if not found. Apply a modified binary search that identifies the sorted half. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Modified Binary Search,O(log n),O(1),Binary Search,High,0,,
46,Find median of two sorted arrays (Array),Array,Easy,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
47,Find median of two sorted arrays (Array),Array,Medium,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
48,Find median of two sorted arrays (Array),Array,Hard,"Google, Amazon, Microsoft",unsolved,,https://leetcode.com/problems/median-of-two-sorted-arrays/,"Given two sorted arrays, find the median of the combined elements in O(log(min(m,n))) time. Use binary search to partition both arrays at the correct position. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Binary Search (Partition),"O(log(min(m,n)))",O(1),Binary Search,High,0,,
49,Word search in matrix (Array),Array,Easy,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
50,Word search in matrix (Array),Array,Medium,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
51,Word search in matrix (Array),Array,Hard,"Microsoft, Amazon, Snap",unsolved,,https://leetcode.com/problems/word-search/,"Given a 2D board of characters and a word, determine if the word exists in the grid by connecting adjacent (horizontally or vertically) cells. Use DFS with backtracking. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS + Backtracking,O(m×n×4^L),O(L),Backtracking,Medium,0,,
52,Implement trie for dictionary (Array),Array,Easy,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
53,Implement trie for dictionary (Array),Array,Medium,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
54,Implement trie for dictionary (Array),Array,Hard,"Google, Facebook, Twitter",unsolved,,https://leetcode.com/problems/implement-trie-prefix-tree/,"Implement a trie (prefix tree) that supports insert, search, and startsWith operations. Each node stores children references and a flag marking end of a valid word. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Trie (Prefix Tree),O(L) per op,O(total chars),Trie,Medium,0,,
55,Minimum path sum in grid (Array),Array,Easy,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
56,Minimum path sum in grid (Array),Array,Medium,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
57,Minimum path sum in grid (Array),Array,Hard,"Amazon, Google, Uber",unsolved,,https://leetcode.com/problems/minimum-path-sum/,"Given a grid filled with non-negative numbers, find a path from the top-left to the bottom-right that minimizes the sum of all numbers along the path using dynamic programming. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dynamic Programming,O(m×n),O(1) in-place,Dynamic Programming,Medium,0,,
58,Longest palindromic substring (Array),Array,Easy,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
59,Longest palindromic substring (Array),Array,Medium,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
60,Longest palindromic substring (Array),Array,Hard,"Amazon, Facebook, Microsoft",unsolved,,https://leetcode.com/problems/longest-palindromic-substring/,"Given a string, return the longest palindromic substring. Use expand-around-center (O(n²)) or Manacher's algorithm (O(n)) for an optimal solution. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Expand Around Center / Manacher's,O(n),O(1),Two Pointers / DP,High,0,,
61,Find the maximum subarray sum (String),String,Easy,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the String data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
62,Find the maximum subarray sum (String),String,Medium,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the String data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
63,Find the maximum subarray sum (String),String,Hard,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the String data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
64,Reverse elements in an array (String),String,Easy,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the String data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
65,Reverse elements in an array (String),String,Medium,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the String data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
